backbone,backbone_key,embedding_dim,protocol,fold,component_id,test_years,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,2,C0002,2024,195,12,386.5234921182182,272.86638814814927,-0.46514193556894856,0.4235873886227049,49.990969577892486
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,2,C0002,2024,195,12,357.70419642545755,255.72369037037075,-0.25480424731204687,0.3920045988224192,48.82323872818362
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,2,C0002,2024,195,12,351.23770735053046,314.00307249491965,-0.2098462346670915,0.38491803545263614,60.03441146603273
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,3,C0003,2024,195,12,320.26987570961455,245.49995666666777,-1.2804431787050419,0.3852082890832727,43.21251497575395
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,3,C0003,2024,195,12,393.40749998252954,331.3459472222262,-2.440902313330946,0.4731754107220533,51.96360174610542
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,3,C0003,2024,195,12,197.9423378240872,130.48019281057577,0.12890712096354195,0.23807743117087296,30.40161732808896
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,4,C0004,2024,195,12,314.6699348106241,239.132181805557,-0.8963426526738103,0.43796617137655064,51.303114136866675
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,4,C0004,2024,195,12,477.0389908287149,418.74979472222617,-3.3582693617981008,0.6639558384766658,70.03442512221686
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,4,C0004,2024,195,12,283.58133027226876,236.10447598333715,-0.5401449064959631,0.3946962062580291,51.53154687689818
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,5,C0005,2024,195,12,333.4307544821926,313.59909527778194,-7.664189508740018,0.8498298827123552,37.11692916079766
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,5,C0005,2024,195,12,126.07963303429815,105.7307959188045,-0.23881514120182112,0.3213448019225134,14.791579387832016
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,5,C0005,2024,195,12,227.86296159328882,197.8178917682794,-3.0463561726694257,0.5807645255340609,31.181235967311462
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,6,C0006,2024,195,12,525.7632144841999,451.28828666666794,-2.798856133871879,0.7188154908661115,97.80108725842884
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,6,C0006,2024,195,12,715.7701617566869,662.9940304700876,-6.040761493370136,0.9785901067179182,112.29187539529532
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,6,C0006,2024,195,12,507.2924717879511,402.2428007736864,-2.5366272395692464,0.6935625716581917,91.36174603343822
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,7,C0007,2024,195,12,379.7491518988408,316.5058486111125,-0.6530897909190634,0.364449559395421,58.30904965554876
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,7,C0007,2024,195,12,391.93715524417854,326.0827362962983,-0.7609040437412113,0.3761465241599441,59.21668216694555
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,7,C0007,2024,195,12,324.52582337379505,267.6875254695128,-0.207261467882915,0.31145110594617464,54.64322237104577
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,8,C0008,2024,195,12,486.6009029334723,446.12682833333497,-5.272114875827784,0.6734960594234911,60.17857894976675
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,8,C0008,2024,195,12,373.5594091241119,319.05382048840266,-2.696473036467276,0.5170372444624386,48.327830173852504
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,8,C0008,2024,195,12,178.39487364783315,143.70672723141067,0.15698961688797886,0.24691331992779675,28.53628570729425
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,9,C0009,2024,195,12,321.1869094175588,265.1328438888902,-0.9889479338481708,0.3730393837602309,46.09955148556694
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,9,C0009,2024,195,12,358.17542490487324,300.8889840277794,-1.4734282174833382,0.4159993320614091,49.94956852468911
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,9,C0009,2024,195,12,246.3001377743555,210.30237612151691,-0.16959916895620863,0.2860628777867079,40.24816687460763
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,10,C0010,2024,195,12,468.3605805789876,381.46962722222605,-1.9706668147620015,0.4897888424355426,52.5681210408612
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,10,C0010,2024,195,12,287.58977454180257,242.35972314814845,-0.12005707603162952,0.30074747664502227,40.32648757913906
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,10,C0010,2024,195,12,280.1338406790234,225.99760416166177,-0.06273363136205079,0.2929504216251225,39.391575084193015
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,11,C0011,2025,195,12,716.1227890834568,687.4778998148136,-0.12058672418031957,0.3393946867694108,73.19413309631837
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,11,C0011,2025,195,12,761.5662572157712,725.7613999999993,-0.2673187813558706,0.3609318754577115,78.27084217125426
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,11,C0011,2025,195,12,709.9752491379945,665.2520808881078,-0.10143000089782506,0.3364811607289074,72.07786250121443
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,12,C0012,2025,206,1,284.75000000000864,284.75000000000864,,28475000000.000862,20.808593821364546
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,12,C0012,2025,206,1,284.75000000000864,284.75000000000864,,28475000000.000862,20.808593821364546
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,12,C0012,2025,206,1,184.0867696945861,184.0867696945861,,18408676969.45861,13.96614016964461
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,13,C0013,2025,206,1,85.68499999999017,85.68499999999017,,8568499999.999017,6.113359529537831
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,13,C0013,2025,206,1,85.68499999999017,85.68499999999017,,8568499999.999017,6.113359529537831
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,13,C0013,2025,206,1,32.177754147181304,32.177754147181304,,3217775414.71813,2.396547717288245
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,14,C0014,2025,206,1,370.4782066666503,370.4782066666503,,37047820666.66503,25.072954916473957
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,14,C0014,2025,206,1,370.4349999999838,370.4349999999838,,37043499999.99838,25.06966427487276
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,14,C0014,2025,206,1,390.0757652575014,390.0757652575014,,39007576525.75014,26.575500923524018
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,15,C0015,2025,195,12,562.0820321455353,506.86088041310563,-0.006463297310269844,0.36334619650510375,69.2713040304408
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,15,C0015,2025,195,12,560.9034337181887,518.7943893981482,-0.0022469291059361574,0.3625843161543858,71.84073660688077
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,15,C0015,2025,195,12,533.211846168844,414.9187573041104,0.09427132879660483,0.3446836674308605,61.11750836127313
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,16,C0016,2025,195,12,411.7195166314525,350.42416666666685,-0.002375524746403679,0.3056203543984772,43.73097109677755
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,16,C0016,2025,195,12,418.2146039150613,350.42416666666674,-0.03425096243470138,0.31044167278946916,43.070582292217125
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,16,C0016,2025,195,12,452.6476580519438,405.2888558279201,-0.2115688553759003,0.3360014089283706,51.224826542009716
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,17,C0017,2025,195,12,363.68372139562587,326.8566027314815,-0.008483525791988189,0.3127493605383502,36.41132849468537
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,17,C0017,2025,195,12,377.5487867890556,339.0844514245014,-0.08684407363258284,0.32467260615126126,37.878986395173975
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,17,C0017,2025,195,12,317.29609832063494,271.26021057031437,0.23237246072487794,0.2728583821961672,30.575260919519874
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,18,C0018,2025,198,9,640.7026093374949,580.7745270818066,-0.009324452498932878,0.3973349515271286,77.30699134656457
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,18,C0018,2025,198,9,655.9914336410307,591.007549429182,-0.05806937845006388,0.4068163929556779,76.48012916364615
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,18,C0018,2025,198,9,445.3601416631565,413.21132472532065,0.512313759870555,0.2761923359151358,67.80936914164083
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,1,C0001,2023,168,39,235.6924670339765,193.30997024216666,-1.8235843262793887,0.34118770560795675,19.219486866442193
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,1,C0001,2023,168,39,279.568562683112,256.11502864672195,-2.9727023316326244,0.4047026095586451,26.571618188698167
DINOv2-Small,dinov2_small,384,Full CMGT,1,C0001,2023,168,39,390.4369682492212,353.21121534677053,-6.748385532477913,0.565195379631183,39.50517070843374
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,2,C0002,2024,195,12,543.3531487911905,442.00685720899673,-1.8952914388434108,0.5954555055245924,64.17514227184054
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,2,C0002,2024,195,12,373.53176355217664,262.00183833333386,-0.36830522811203315,0.40934987786539906,49.067661920683285
DINOv2-Small,dinov2_small,384,Full CMGT,2,C0002,2024,195,12,347.9407474476411,308.3961024285216,-0.18723992813369472,0.3813049287097437,59.17370665973542
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,3,C0003,2024,195,12,520.4206576474677,475.2455540079393,-5.0213812703879075,0.6259419518985203,64.70495309624529
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,3,C0003,2024,195,12,413.3356345321963,354.7774266666689,-2.798330664715646,0.4971442045322416,54.20052872995972
DINOv2-Small,dinov2_small,384,Full CMGT,3,C0003,2024,195,12,222.3548945280063,150.95721621147575,-0.09920946763670302,0.2674399154795486,32.862074945681705
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,4,C0004,2024,195,12,368.845272359185,292.2956459935923,-1.6055220665398027,0.5133688792439386,57.23565897963497
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,4,C0004,2024,195,12,354.5030099849643,276.87312314814955,-1.406834161465484,0.49340692849482837,55.53526865446678
DINOv2-Small,dinov2_small,384,Full CMGT,4,C0004,2024,195,12,286.2250021698357,222.99969535837013,-0.5689945956995202,0.3983757406884474,49.44369873166362
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,5,C0005,2024,195,12,298.84596453757456,276.54517722222613,-5.960035007958947,0.7616820811458508,33.572474109639465
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,5,C0005,2024,195,12,257.7466984165678,231.52037722222272,-4.177294319153956,0.656930542669983,29.05131872439794
DINOv2-Small,dinov2_small,384,Full CMGT,5,C0005,2024,195,12,197.80249543083517,165.03651851397373,-2.0491596575448354,0.5041480704239458,24.97313439766833
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,6,C0006,2024,195,12,472.4030694283693,389.3435004629646,-2.0668877035871724,0.6458623100342744,92.65410770230694
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,6,C0006,2024,195,12,558.2899417992123,488.7962961111159,-3.2834338065633606,0.7632855390115423,100.71655743508934
DINOv2-Small,dinov2_small,384,Full CMGT,6,C0006,2024,195,12,441.36385448500664,360.07581923601214,-1.677108544151635,0.6034259662373798,90.36704540167001
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,7,C0007,2024,195,12,325.1153144596193,278.50898462963045,-0.21165135728702666,0.3120168472135927,54.695120355149754
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,7,C0007,2024,195,12,361.4892949420776,302.68807148148227,-0.49793752343290354,0.346925367993702,56.984435924620804
DINOv2-Small,dinov2_small,384,Full CMGT,7,C0007,2024,195,12,334.54038266854326,288.5777542852061,-0.28292100925531183,0.3210621918544917,56.25055490241962
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,8,C0008,2024,195,12,371.158953592429,316.2399042735074,-2.6491193373172477,0.5137148146608014,48.04229548457089
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,8,C0008,2024,195,12,408.05546017041655,358.8286036507969,-3.410690356210128,0.5647826438344866,52.2505014834596
DINOv2-Small,dinov2_small,384,Full CMGT,8,C0008,2024,195,12,213.55921181334935,157.7705548555813,-0.20810533371561357,0.2955836841707257,29.964694574033725
