repeat,variant,RMSE,MAE,R2,NRMSE,sMAPE
13,Without Phenotype Trajectory,328.8835627462187,245.9097986211377,0.31245465579907694,0.20998152449878288,39.156432060227175
13,Image Trajectory Only,345.06636066049293,270.0792663788077,0.24312831978737237,0.22031371789975607,41.653672393032146
14,Full CMGT-DINO,300.7670341333749,225.8704095689713,0.4662519569438034,0.1866263552577407,34.10383727539178
14,Without Concordance,311.64756565402183,242.81918999731502,0.42693576231952046,0.19337773991934837,36.1966265014374
14,Without Environment Trajectory,302.6036022665,228.3195529513567,0.4597136238070144,0.1877659482914495,34.55779802056985
14,Without Phenotype Trajectory,327.5655996021585,234.9594597132272,0.3668998704197407,0.20325490171392313,34.31901006640309
14,Image Trajectory Only,341.7310353746571,259.61612562726225,0.3109596195048324,0.2120445739480374,36.42553062482246
15,Full CMGT-DINO,318.30690986927,224.33161114189267,0.4499578628021227,0.19291327870864847,40.54005855630192
15,Without Concordance,350.2016540737741,239.96460102192736,0.3342054835534969,0.21224342671137822,41.804122607004956
15,Without Environment Trajectory,307.6555146805934,215.6737755647453,0.48615369699848243,0.18645788768520813,39.46807912820606
15,Without Phenotype Trajectory,308.0475452920169,221.79344274620226,0.4848433234437144,0.18669548199516176,41.882953866922236
15,Image Trajectory Only,355.50089016370606,260.3629464280936,0.3139034856032461,0.21545508494770063,43.68409750463388
16,Full CMGT-DINO,242.88798757832183,190.44003755835746,0.5880614473210457,0.14720484095655867,33.725830614215305
16,Without Concordance,248.8698082233935,198.22762485845735,0.5675212313173473,0.15083018680205668,34.79614816616079
16,Without Environment Trajectory,239.30547433927973,190.3671367912634,0.6001237295872025,0.1450336208116847,33.599477695491224
16,Without Phenotype Trajectory,269.26254828853973,204.89283441702065,0.4937415689818717,0.1631894232051756,34.89131059727894
16,Image Trajectory Only,293.0540848605724,221.91434894536403,0.40032502689574034,0.17760853627913478,36.44314575827582
17,Full CMGT-DINO,338.38508058702456,227.44925587712848,0.08367389037441153,0.2645038618852395,39.35521465396613
17,Without Concordance,336.39086433186276,232.34389032304105,0.09444249648863212,0.2629450523183119,37.52956964905716
17,Without Environment Trajectory,347.91958004080675,240.31984292008673,0.03130872319945921,0.271956648876596,41.7899939337715
17,Without Phenotype Trajectory,333.46737673502844,242.05147366597697,0.1101140412828826,0.2606598636267927,39.110281031217156
17,Image Trajectory Only,329.48712140725746,245.05357857689424,0.13123055904154668,0.2575486363124609,37.911257471629106
18,Full CMGT-DINO,424.7895681699931,305.8432769819419,0.1311430946912766,0.2745963490781876,63.03230260717752
18,Without Concordance,422.8988511664998,294.10195675126533,0.13886035858193002,0.27337413453903125,61.49420267919008
18,Without Environment Trajectory,420.9677296488557,302.4934736973868,0.14670700281741755,0.2721258013451257,62.76956432196788
18,Without Phenotype Trajectory,434.3432473990388,314.8071279829517,0.09162176623828944,0.28077212558762915,63.868407552734936
18,Image Trajectory Only,441.8284610610572,339.3550278627789,0.0600430843425489,0.2856107857094283,65.0261931291223
19,Full CMGT-DINO,372.3656502448308,263.13538133989226,0.3816643535950578,0.20223195290495244,46.696292899562955
19,Without Concordance,376.8129672768965,259.1546698920035,0.36680607408589716,0.2046472927946301,44.85361373480572
19,Without Environment Trajectory,363.9972893192805,260.23119143904887,0.40914439522435175,0.19768709230496206,46.32003774339711
19,Without Phenotype Trajectory,363.98729532611986,268.4218794126823,0.4091768401132656,0.19768166456276062,47.36765053530694
19,Image Trajectory Only,396.25702569211836,301.1468705307636,0.299772744128312,0.21520736970592108,48.28587489411058
